actor_name,num_movies
Robert De Niro,54
Morgan Freeman,47
Johnny Depp,41
Bruce Willis,40
Matt Damon,38
Steve Buscemi,37
Liam Neeson,34
Brad Pitt,34
Bill Murray,34
Nicolas Cage,34
Will Ferrell,32
Denzel Washington,32
J.K. Simmons,31
Scarlett Johansson,30
Jim Broadbent,30
Anthony Hopkins,30
Robert Downey Jr.,29
Harrison Ford,29
Tom Cruise,29
Christian Bale,28
James Franco,28
Tom Hanks,28
Tom Wilkinson,27
Robin Williams,27
Julia Roberts,27
Sylvester Stallone,27
Kirsten Dunst,26
Jason Statham,26
Matthew McConaughey,26
Meryl Streep,26
Judy Greer,25
Angelina Jolie Pitt,25
Keanu Reeves,25
Gerard Butler,25
Philip Seymour Hoffman,25
Robert Duvall,25
Anne Hathaway,24
Hugh Jackman,24
Jeff Bridges,24
Charlize Theron,24
Adam Sandler,24
Gary Oldman,23
Dwayne Johnson,23
Kevin Spacey,22
Naomi Watts,22
Leonardo DiCaprio,22
Kate Winslet,22
Channing Tatum,22
Dennis Quaid,22
Oliver Platt,21
Rosario Dawson,21
Al Pacino,21
Will Smith,20
Jake Gyllenhaal,20
Steve Carell,20
Kristen Stewart,20
Bradley Cooper,20
Jason Flemyng,20
Natalie Portman,20
Stephen Root,20
Joseph Gordon-Levitt,19
Ryan Reynolds,19
Paul Walker,19
Vin Diesel,19
Bruce Greenwood,19
Colin Firth,19
Salma Hayek,19
Zooey Deschanel,19
Milla Jovovich,19
Viggo Mortensen,19
Jon Favreau,18
Ray Winstone,18
Jada Pinkett Smith,18
Chloë Grace Moretz,17
Brendan Fraser,17
Steve Coogan,17
Scott Glenn,17
Ryan Gosling,17
William Hurt,16
Clifton Collins Jr.,16
Matthew Broderick,16
Demi Moore,16
Bruce McGill,16
Bob Hoskins,16
Michael Rapaport,16
John Heard,16
Clint Eastwood,16
Chris Hemsworth,15
Christopher Lee,15
Don Cheadle,15
Mila Kunis,15
Olivia Wilde,15
Jennifer Lawrence,15
Michael Fassbender,15
Delroy Lindo,15
Djimon Hounsou,15
Josh Hutcherson,15
Jennifer Garner,15
Sam Shepard,15
Chazz Palminteri,15
Jamie Lee Curtis,15
Anna Kendrick,15
Jennifer Jason Leigh,15
Gary Cole,15
Lin Shaye,15
Frank Langella,14
Peter Dinklage,14
Emma Stone,14
Amy Poehler,14
Bernie Mac,14
Alfre Woodard,14
Adam Scott,14
Catherine O'Hara,14
Jon Lovitz,14
Loretta Devine,14
Martin Landau,14
Jay Hernandez,14
Mike Epps,14
Nia Long,14
Tom Hardy,13
Kristin Scott Thomas,13
Thomas Kretschmann,13
Chris Evans,13
Robin Wright,13
Jet Li,13
Rip Torn,13
Mekhi Phifer,13
Rufus Sewell,13
Holly Hunter,13
Michael Angarano,13
Mike Starr,13
Minnie Driver,13
Bill Cobbs,13
